_u,_v,abs(NearPoyntingTotal)[irrad_W_per_m2]
-8,-0.5,9.89046e-05
-7.5,-0.5,0.000119381
-7,-0.5,2.90782e-05
-6.5,-0.5,4.86458e-05
-6,-0.5,3.94985e-05
-5.5,-0.5,2.67316e-05
-5,-0.5,0.000115072
-4.5,-0.5,0.000297311
-4,-0.5,0.000385289
-3.5,-0.5,0.000455595
-3,-0.5,0.000249802
-2.5,-0.5,0.000189792
-2,-0.5,0.00012588
-1.5,-0.5,7.92735e-05
-1,-0.5,4.30407e-05
-0.5,-0.5,6.76232e-05
0,-0.5,3.73679e-05
0.5,-0.5,8.14259e-05
1,-0.5,0.000430514
1.5,-0.5,0.000116445
2,-0.5,0.000300139
2.5,-0.5,0.000160284
3,-0.5,0.000125135
3.5,-0.5,0.000189237
4,-0.5,7.24132e-05
4.5,-0.5,0.000224508
5,-0.5,0.000257829
5.5,-0.5,0.000123288
6,-0.5,0.000310823
6.5,-0.5,0.00041914
7,-0.5,0.000388143
7.5,-0.5,0.000369121
8,-0.5,9.94503e-05
8.5,-0.5,0.000239834
9,-0.5,0.000407271
9.5,-0.5,0.000222498
10,-0.5,2.29135e-05
-10,0,2.89527e-05
-9.5,0,0.000120401
-9,0,8.86709e-05
-8.5,0,7.85336e-05
-8,0,6.06106e-05
-7.5,0,0.000132927
-7,0,1.37785e-05
-6.5,0,2.55313e-05
-6,0,3.4972e-05
-5.5,0,3.15114e-05
-5,0,0.000114663
-4.5,0,0.000442422
-4,0,0.000544404
-3.5,0,0.000630783
-3,0,0.000314606
-2.5,0,0.000117219
-2,0,0.000142542
-1.5,0,0.000112582
-1,0,4.68773e-05
-0.5,0,3.22269e-05
0,0,9.62681e-05
0.5,0,0.000125417
1,0,0.000312633
1.5,0,0.000212009
2,0,0.000363856
2.5,0,0.000238699
3,0,5.04927e-05
3.5,0,0.000263791
4,0,0.000113621
4.5,0,0.000137279
5,0,0.00038177
5.5,0,0.000116917
6,0,0.000190672
6.5,0,0.00085356
7,0,0.000869656
7.5,0,0.000288687
8,0,1.44688e-05
8.5,0,9.44659e-05
9,0,0.000335658
9.5,0,0.000281249
10,0,6.84507e-06
-10,0.5,0.000143541
-9.5,0.5,0.000244428
-9,0.5,8.28587e-05
-8.5,0.5,6.20259e-05
-8,0.5,4.9032e-05
-7.5,0.5,0.000112676
-7,0.5,2.45514e-05
-6.5,0.5,3.1181e-05
-6,0.5,1.26259e-05
-5.5,0.5,1.8102e-05
-5,0.5,8.71623e-05
-4.5,0.5,0.000245664
-4,0.5,0.000507868
-3.5,0.5,0.000543437
-3,0.5,0.000386527
-2.5,0.5,0.000138471
-2,0.5,0.000183726
-1.5,0.5,0.000157122
-1,0.5,0.000159095
-0.5,0.5,8.118e-05
0,0.5,1.99727e-05
0.5,0.5,0.000134179
1,0.5,0.000441267
1.5,0.5,0.00025104
2,0.5,0.000217731
2.5,0.5,0.000198022
3,0.5,8.15616e-05
3.5,0.5,0.000366711
4,0.5,3.07795e-05
4.5,0.5,0.000377215
5,0.5,0.000461026
5.5,0.5,0.000160221
6,0.5,0.000247281
6.5,0.5,0.000210291
7,0.5,0.000380673
7.5,0.5,0.000361755
8,0.5,5.02753e-05
8.5,0.5,0.000182678
9,0.5,0.000342885
9.5,0.5,0.000253943
10,0.5,0.00013977
-10,1,5.41273e-05
-9.5,1,3.09899e-05
-9,1,3.50152e-05
-8.5,1,1.5976e-05
-8,1,5.93825e-05
-7.5,1,9.2809e-05
-7,1,3.65963e-05
-6.5,1,2.34057e-05
-6,1,1.09664e-05
-5.5,1,3.29715e-05
-5,1,4.88374e-05
-4.5,1,0.000311444
-4,1,0.00055275
-3.5,1,0.000618541
-3,1,0.000355421
-2.5,1,8.4823e-05
-2,1,0.000193584
-1.5,1,0.000219031
-1,1,0.000116599
-0.5,1,4.00897e-05
0,1,3.50838e-05
0.5,1,0.000189613
1,1,0.000191878
1.5,1,7.13674e-05
2,1,0.000321856
2.5,1,0.00011657
3,1,6.15061e-05
3.5,1,0.000155037
