_u,_v,dB(NearPoyntingTotal)
9.6,-7.2,-49.0127
10.4,-7.2,-56.541
11.2,-7.2,-51.3195
12,-7.2,-50.9344
12.8,-7.2,-47.796
13.6,-7.2,-52.5892
14.4,-7.2,-51.5651
15.2,-7.2,-54.8366
16,-7.2,-50.0822
16.8,-7.2,-54.3046
17.6,-7.2,-46.2932
18.4,-7.2,-46.4572
19.2,-7.2,-51.2446
20,-7.2,-52.8375
-20,-6.4,-38.4425
-19.2,-6.4,-38.7981
-18.4,-6.4,-39.8069
-17.6,-6.4,-36.9138
-16.8,-6.4,-36.8331
-16,-6.4,-38.2805
-15.2,-6.4,-43.8906
-14.4,-6.4,-37.481
-13.6,-6.4,-39.1486
-12.8,-6.4,-40.4626
-12,-6.4,-35.9602
-11.2,-6.4,-41.6877
-10.4,-6.4,-41.1308
-9.6,-6.4,-39.1015
-8.8,-6.4,-41.6555
-8,-6.4,-39.395
-7.2,-6.4,-41.9482
-6.4,-6.4,-48.3442
-5.6,-6.4,-40.5222
-4.8,-6.4,-40.5543
-4,-6.4,-39.2697
-3.2,-6.4,-42.8549
-2.4,-6.4,-41.8361
-1.6,-6.4,-43.5616
-0.8,-6.4,-42.9168
0,-6.4,-47.3595
0.8,-6.4,-42.9105
1.6,-6.4,-48.3999
2.4,-6.4,-47.3646
3.2,-6.4,-43.7435
4,-6.4,-47.6698
4.8,-6.4,-46.5653
5.6,-6.4,-49.9726
6.4,-6.4,-49.0389
7.2,-6.4,-47.9706
8,-6.4,-52.6536
8.8,-6.4,-46.9886
9.6,-6.4,-48.4468
10.4,-6.4,-48.4758
11.2,-6.4,-52.1814
12,-6.4,-57.5001
12.8,-6.4,-49.8649
13.6,-6.4,-60.7036
14.4,-6.4,-59.4757
15.2,-6.4,-50.9831
16,-6.4,-46.9909
16.8,-6.4,-48.7029
17.6,-6.4,-51.2217
18.4,-6.4,-57.959
19.2,-6.4,-60.6011
20,-6.4,-61.3236
-20,-5.6,-41.405
-19.2,-5.6,-35.3042
-18.4,-5.6,-45.0617
-17.6,-5.6,-40.625
-16.8,-5.6,-38.5134
-16,-5.6,-39.9867
-15.2,-5.6,-31.6522
-14.4,-5.6,-32.253
-13.6,-5.6,-36.3896
-12.8,-5.6,-36.0157
-12,-5.6,-40.0901
-11.2,-5.6,-40.0735
-10.4,-5.6,-37.9285
-9.6,-5.6,-36.7541
-8.8,-5.6,-33.1236
-8,-5.6,-47.3954
-7.2,-5.6,-42.3677
-6.4,-5.6,-40.8404
-5.6,-5.6,-40.5665
-4.8,-5.6,-39.1033
-4,-5.6,-38.7929
-3.2,-5.6,-36.5636
-2.4,-5.6,-33.8286
-1.6,-5.6,-37.5699
-0.8,-5.6,-39.0058
0,-5.6,-41.486
0.8,-5.6,-41.4897
1.6,-5.6,-51.3706
2.4,-5.6,-47.5768
3.2,-5.6,-42.2345
4,-5.6,-50.1784
4.8,-5.6,-36.9554
5.6,-5.6,-46.0993
6.4,-5.6,-51.6627
7.2,-5.6,-49.1692
8,-5.6,-45.4544
8.8,-5.6,-45.7747
9.6,-5.6,-43.7562
