_u,_v,dB(NearETotal)
-18.4,-10.4,-18.4014
-17.6,-10.4,-14.6479
-16.8,-10.4,-13.5137
-16,-10.4,-17.6884
-15.2,-10.4,-14.8829
-14.4,-10.4,-12.2762
-13.6,-10.4,-15.1174
-12.8,-10.4,-11.4427
-12,-10.4,-9.9504
-11.2,-10.4,-14.35
-10.4,-10.4,-18.4137
-9.6,-10.4,-16.3377
-8.8,-10.4,-12.2225
-8,-10.4,-10.3941
-7.2,-10.4,-15.2031
-6.4,-10.4,-14.4567
-5.6,-10.4,-12.5532
-4.8,-10.4,-13.4147
-4,-10.4,-13.5412
-3.2,-10.4,-8.8853
-2.4,-10.4,-7.1607
-1.6,-10.4,-3.24089
-0.8,-10.4,-10.3021
0,-10.4,-15.1757
0.8,-10.4,-16.3812
1.6,-10.4,-18.9428
2.4,-10.4,-21.3503
3.2,-10.4,-18.6255
4,-10.4,-16.7256
4.8,-10.4,-20.8949
5.6,-10.4,-21.0578
6.4,-10.4,-23.9727
7.2,-10.4,-21.5865
8,-10.4,-22.4758
8.8,-10.4,-21.6882
9.6,-10.4,-24.0939
10.4,-10.4,-23.8686
11.2,-10.4,-22.6479
12,-10.4,-20.6099
12.8,-10.4,-22.6804
13.6,-10.4,-23.0637
14.4,-10.4,-20.7951
15.2,-10.4,-33.4046
16,-10.4,-24.3673
16.8,-10.4,-27.1214
17.6,-10.4,-24.1305
18.4,-10.4,-25.408
19.2,-10.4,-28.0096
20,-10.4,-25.508
-20,-9.6,-20.1909
-19.2,-9.6,-8.96525
-18.4,-9.6,-11.2534
-17.6,-9.6,-9.87525
-16.8,-9.6,-18.3319
-16,-9.6,-15.1771
-15.2,-9.6,-11.2005
-14.4,-9.6,-18.6064
-13.6,-9.6,-15.4293
-12.8,-9.6,-13.6461
-12,-9.6,-10.7595
-11.2,-9.6,-9.50056
-10.4,-9.6,-12.0127
-9.6,-9.6,-13.7333
-8.8,-9.6,-10.6296
-8,-9.6,-9.76497
-7.2,-9.6,-3.50238
-6.4,-9.6,-16.3435
-5.6,-9.6,-14.2474
-4.8,-9.6,-12.7951
-4,-9.6,-14.7961
-3.2,-9.6,-8.50437
-2.4,-9.6,-10.6919
-1.6,-9.6,-14.5785
-0.8,-9.6,-9.58568
0,-9.6,-14.2443
0.8,-9.6,-22.1151
1.6,-9.6,-20.1736
2.4,-9.6,-23.0627
3.2,-9.6,-19.4495
4,-9.6,-7.36462
4.8,-9.6,-22.7622
5.6,-9.6,-21.7034
6.4,-9.6,-22.199
7.2,-9.6,-15.4006
8,-9.6,-27.9209
8.8,-9.6,-22.464
9.6,-9.6,-22.3707
10.4,-9.6,-24.6925
11.2,-9.6,-23.4748
12,-9.6,-27.919
12.8,-9.6,-23.0747
13.6,-9.6,-23.4207
14.4,-9.6,-24.5966
15.2,-9.6,-26.5905
16,-9.6,-27.1078
16.8,-9.6,-26.5165
17.6,-9.6,-34.2042
18.4,-9.6,-30.2493
19.2,-9.6,-25.3696
20,-9.6,-23.8499
-20,-8.8,-18.1468
-19.2,-8.8,-12.7844
-18.4,-8.8,-11.1044
-17.6,-8.8,-11.9221
-16.8,-8.8,-23.9661
-16,-8.8,-17.3623
-15.2,-8.8,-13.1372
-14.4,-8.8,-2.11685
-13.6,-8.8,-13.703
-12.8,-8.8,-7.6171
-12,-8.8,-18.0697
-11.2,-8.8,-13.5079
-10.4,-8.8,-9.34798
-9.6,-8.8,-8.99514
-8.8,-8.8,-12.6174
-8,-8.8,-8.7057
-7.2,-8.8,-7.80308
-6.4,-8.8,-14.8864
-5.6,-8.8,-16.9065
-4.8,-8.8,-7.90885
-4,-8.8,-15.6044
-3.2,-8.8,-14.4512
-2.4,-8.8,-13.9462
-1.6,-8.8,-13.7487
-0.8,-8.8,-19.8332
0,-8.8,-16.645
0.8,-8.8,-17.0936
1.6,-8.8,-18.9739
2.4,-8.8,-15.3775
3.2,-8.8,-20.9612
4,-8.8,-21.5371
4.8,-8.8,-28.6626
5.6,-8.8,-18.795
6.4,-8.8,-23.477
7.2,-8.8,-23.0539
8,-8.8,-21.7972
8.8,-8.8,-21.5186
9.6,-8.8,-21.4198
10.4,-8.8,-21.6779
11.2,-8.8,-21.7001
12,-8.8,-24.9749
12.8,-8.8,-24.6173
13.6,-8.8,-26.2018
14.4,-8.8,-20.4822
15.2,-8.8,-26.6181
16,-8.8,-19.989
16.8,-8.8,-21.2433
17.6,-8.8,-27.5931
18.4,-8.8,-32.5655
19.2,-8.8,-24.6113
20,-8.8,-31.1951
-20,-8,-13.3589
-19.2,-8,-8.84142
-18.4,-8,-10.9383
-17.6,-8,-13.4786
-16.8,-8,-11.6445
-16,-8,-11.052
-15.2,-8,-9.75137
-14.4,-8,-15.525
-13.6,-8,-11.2692
-12.8,-8,-10.501
-12,-8,-16.868
-11.2,-8,-13.5798
-10.4,-8,-8.51194
-9.6,-8,-13.392
-8.8,-8,-14.8906
-8,-8,-10.3816
-7.2,-8,-11.2862
-6.4,-8,-14.9494
-5.6,-8,-12.8863
-4.8,-8,-17.8911
-4,-8,-11.553
-3.2,-8,-16.1169
-2.4,-8,-17.687
-1.6,-8,-12.2844
-0.8,-8,-11.3531
0,-8,-23.0592
0.8,-8,-17.4469
1.6,-8,-17.3982
2.4,-8,-22.4883
3.2,-8,-20.5995
4,-8,-18.9244
4.8,-8,-20.058
5.6,-8,-19.1022
6.4,-8,-24.5058
7.2,-8,-23.4442
8,-8,-19.0516
8.8,-8,-22.3304
9.6,-8,-22.798
10.4,-8,-22.2704
11.2,-8,-18.8752
12,-8,-19.7424
12.8,-8,-17.3727
13.6,-8,-23.8917
14.4,-8,-23.3585
15.2,-8,-22.4225
16,-8,-30.6875
16.8,-8,-35.3384
17.6,-8,-25.007
18.4,-8,-27.498
19.2,-8,-27.2831
20,-8,-25.2272
-20,-7.2,-14.035
-19.2,-7.2,-4.54601
-18.4,-7.2,-7.03918
-17.6,-7.2,-13.7598
