_u,_v,dB(NearETotal)
-7,-10,-12.1849
-6.5,-10,-11.7213
-6,-10,-13.653
-5.5,-10,-11.2221
-5,-10,-9.11016
-4.5,-10,-9.79147
-4,-10,-8.1116
-3.5,-10,-10.5587
-3,-10,-12.6787
-2.5,-10,-10.4482
-2,-10,-6.72931
-1.5,-10,-5.39075
-1,-10,-3.96804
-0.5,-10,-6.42203
0,-10,-7.55209
0.5,-10,-11.4076
1,-10,-12.5192
1.5,-10,-12.5468
2,-10,-6.015
2.5,-10,-6.46604
3,-10,-3.05599
3.5,-10,-4.04723
4,-10,-4.15493
4.5,-10,-6.787
5,-10,-9.12763
5.5,-10,-15.3694
6,-10,-15.5128
6.5,-10,-10.1254
7,-10,-13.3068
7.5,-10,-11.7594
8,-10,-9.74771
8.5,-10,-13.9903
9,-10,-8.95745
9.5,-10,-10.8555
10,-10,-13.9449
10.5,-10,-11.9614
11,-10,-10.2409
11.5,-10,-19.4142
12,-10,-22.1103
12.5,-10,-17.7042
13,-10,-15.9202
13.5,-10,-10.7011
14,-10,-19.4173
14.5,-10,-17.0558
15,-10,-14.5389
-15,-9.5,-6.32669
-14.5,-9.5,-4.18955
-14,-9.5,-3.93598
-13.5,-9.5,-14.199
-13,-9.5,-13.3534
-12.5,-9.5,-15.8076
-12,-9.5,-9.38281
-11.5,-9.5,-16.0169
-11,-9.5,-15.7465
-10.5,-9.5,-14.4105
-10,-9.5,-16.5743
-9.5,-9.5,-8.44229
-9,-9.5,-12.5985
-8.5,-9.5,-13.539
-8,-9.5,-7.1258
-7.5,-9.5,-13.6828
-7,-9.5,-15.4792
-6.5,-9.5,-9.43236
-6,-9.5,-12.8
-5.5,-9.5,-8.92666
-5,-9.5,-15.6592
-4.5,-9.5,-8.6348
-4,-9.5,-6.69749
-3.5,-9.5,-9.95117
-3,-9.5,-10.4044
-2.5,-9.5,-5.73765
-2,-9.5,-8.0203
-1.5,-9.5,-4.49072
-1,-9.5,-8.05352
-0.5,-9.5,-10.1778
0,-9.5,-12.834
0.5,-9.5,-9.39083
1,-9.5,-7.23138
1.5,-9.5,-6.03859
2,-9.5,-6.27908
2.5,-9.5,-2.58581
3,-9.5,-6.76013
3.5,-9.5,-7.47391
4,-9.5,-5.96758
4.5,-9.5,-4.95622
5,-9.5,-12.2003
5.5,-9.5,-8.55079
6,-9.5,-11.3443
6.5,-9.5,-14.417
7,-9.5,-11.7482
7.5,-9.5,-14.118
8,-9.5,-13.508
8.5,-9.5,-13.3645
9,-9.5,-13.5236
9.5,-9.5,-11.3101
10,-9.5,-8.50284
10.5,-9.5,-10.2727
11,-9.5,-16.9374
11.5,-9.5,-12.3298
12,-9.5,-14.8535
12.5,-9.5,-18.4136
13,-9.5,-12.783
13.5,-9.5,-14.519
14,-9.5,-17.1817
14.5,-9.5,-17.1515
15,-9.5,-14.3621
-15,-9,-4.8814
-14.5,-9,-5.66554
-14,-9,-2.03912
-13.5,-9,-8.61898
-13,-9,-11.7556
-12.5,-9,-14.4466
-12,-9,-13.7937
-11.5,-9,-17.6365
-11,-9,-15.3802
-10.5,-9,-10.02
-10,-9,-12.9254
-9.5,-9,-9.72734
-9,-9,-15.976
-8.5,-9,-8.67725
-8,-9,-14.6862
-7.5,-9,-11.7819
-7,-9,-8.86117
-6.5,-9,-13.6684
