CURVE2 (cv_her_20.dta )
Vf (V vs. Ref.)	Im (A)
-1.46997e+0	-1.92336e-2
-1.46003e+0	-1.8786e-2
-1.45006e+0	-1.83635e-2
-1.4401e+0	-1.79278e-2
-1.42997e+0	-1.74962e-2
-1.41999e+0	-1.70633e-2
-1.40995e+0	-1.66534e-2
-1.40002e+0	-1.62341e-2
-1.39007e+0	-1.58213e-2
-1.37997e+0	-1.54062e-2
-1.36999e+0	-1.49856e-2
-1.36002e+0	-1.45883e-2
-1.35007e+0	-1.41857e-2
-1.3401e+0	-1.37934e-2
-1.3299e+0	-1.33983e-2
-1.31993e+0	-1.30054e-2
-1.30997e+0	-1.26182e-2
-1.30004e+0	-1.22399e-2
-1.29007e+0	-1.18519e-2
-1.27996e+0	-1.14696e-2
-1.26995e+0	-1.10997e-2
-1.25999e+0	-1.07304e-2
-1.25001e+0	-1.03691e-2
-1.24008e+0	-1.00088e-2
-1.22992e+0	-9.64664e-3
-1.21992e+0	-9.29587e-3
-1.20998e+0	-8.94628e-3
-1.19997e+0	-8.59796e-3
-1.19002e+0	-8.24575e-3
-1.17995e+0	-7.90715e-3
-1.16993e+0	-7.57319e-3
-1.15997e+0	-7.24548e-3
-1.14997e+0	-6.91412e-3
-1.13999e+0	-6.59056e-3
-1.12992e+0	-6.27268e-3
-1.11995e+0	-5.95619e-3
-1.10994e+0	-5.64855e-3
-1.09995e+0	-5.34801e-3
-1.08999e+0	-5.04655e-3
-1.08002e+0	-4.75041e-3
-1.06999e+0	-4.46242e-3
-1.06001e+0	-4.1747e-3
-1.04997e+0	-3.89563e-3
-1.04003e+0	-3.62488e-3
-1.03011e+0	-3.35943e-3
-1.01994e+0	-3.09702e-3
-1.00996e+0	-2.84181e-3
-9.9995e-1	-2.59497e-3
